"workerid","catch_trial","color","image","show_cross","percentage_blue","video","modal","catch_trial_answer_correct","speaker_cond"
0,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
0,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
0,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
0,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_might_f""","""might""",1,"f"
0,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
0,1,"""orange""","""scene_orange_video_40.gif""","false","""40""","""orange_might_f""","""might""",1,"f"
0,1,"""orange""","""scene_orange_video_10.gif""","true","""10""","""orange_probably_f""","""probably""",0,"f"
0,1,"""blue""","""scene_blue_video_60.gif""","true","""60""","""blue_might_f""","""might""",1,"f"
0,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
0,0,"""orange""","""scene_orange_video_10.gif""",NA,"""10""","""orange_probably_f""","""probably""",-1,"f"
0,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
0,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
0,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_f""","""might""",-1,"f"
0,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
0,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
0,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
0,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_f""","""might""",-1,"f"
0,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_f""","""probably""",-1,"f"
0,1,"""blue""","""scene_blue_video_60.gif""","true","""60""","""blue_might_f""","""might""",1,"f"
0,1,"""orange""","""scene_orange_video_10.gif""","true","""10""","""orange_probably_f""","""probably""",1,"f"
1,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_m""","""might""",-1,"m"
1,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_m""","""might""",1,"m"
1,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_m""","""might""",-1,"m"
1,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_m""","""might""",-1,"m"
1,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_m""","""bare""",-1,"m"
1,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_m""","""bare""",-1,"m"
1,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_might_m""","""might""",-1,"m"
1,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_m""","""bare""",-1,"m"
1,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_m""","""might""",-1,"m"
1,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_m""","""might""",1,"m"
1,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_m""","""bare""",-1,"m"
1,1,"""blue""","""scene_blue_video_90.gif""","false","""90""","""blue_probably_m""","""probably""",1,"m"
1,1,"""blue""","""scene_blue_video_90.gif""","true","""90""","""blue_probably_m""","""probably""",1,"m"
1,1,"""blue""","""scene_blue_video_90.gif""","true","""90""","""blue_probably_m""","""probably""",1,"m"
1,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_m""","""probably""",-1,"m"
1,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_m""","""might""",-1,"m"
1,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_might_m""","""might""",-1,"m"
1,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_might_m""","""might""",1,"m"
1,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_m""","""bare""",-1,"m"
1,0,"""blue""","""scene_blue_video_90.gif""",NA,"""90""","""blue_probably_m""","""probably""",-1,"m"
